Title	Author_Name	Number_Of_Pages	Cover_Image_URL	PDF_Download_URL	Audio_Play_URL	Audio_Download_URL
?? ????? ????????? ? ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1330/bt1330.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1330-1.pdf?fn=para-no-7		
??? ??????? ????? ? ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1329/bt1329.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1329-1.pdf?fn=para-no-6		
???????????????? ? ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1328/bt1328.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1328-1.pdf?fn=para-no-5		
???? ????????? ? ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1327/bt1327.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1327-1.pdf?fn=para-no-4		
?????? ????????? ? ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1326/bt1326.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1326-1.pdf?fn=para-no-3		
?????????? ? ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1325/bt1325.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1325-1.pdf?fn=para-no-2		
??? - ?	Others	0	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1324/bt1324.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1324-1.pdf?fn=para-no-1		
???? ?? ????	Markazi Majlis-e-Shoora	10	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1321/bt1321.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1321-1.pdf?fn=betay-ki-wasiyat		
????? ?????? ???? ??? ???????- ????? ????	Mufti Muhammad Qasim Attari	87	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1316/bt1316.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1316-1.pdf?fn=marifatul-quran-ala-kanzul-irfan-para-4		
?????? ?? ??????? ??????	Al Madina-tul-Ilmiyah	122	https://data2.dawateislami.net/Data/Books/Read/ur/2015/799/bt799.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/799-1.pdf?fn=islam-kay-bunyadi-aqeeday		
????? ?????? ???? ??? ???????- ????? ????	Mufti Muhammad Qasim Attari	84	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1306/bt1306.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1306-1.pdf?fn=marifatul-quran-ala-kanzul-irfan-para-3		
????? ???? ?? ??????	Al Madina-tul-Ilmiyah	32	https://data2.dawateislami.net/Data/Books/Read/ur/2015/1302/bt1302.jpg	https://data2.dawateislami.net/Data/Books/Download/ur/pdf/2015/1302-1.pdf?fn=yaqeen-e-kamil-ki-barkatain		
